id,votacao,alpha,dim_lat1,dim_lat2
117,279543-44,-0.02208662,0.6735222,0.043263584
118,282740-145,-2.8735301,-0.03609703,-0.03129831
119,282740-42,-0.0041063,1.0245281,0.19280867
120,282740-60,1.5123816,0.72012424,-0.22188619
121,282740-61,-0.42007768,0.7241601,0.5046864
122,282740-90,0.0058044908,0.8567892,-0.115581796
123,282740-97,0.0027390672,1.8176825,-0.5117492
124,284567-45,-0.0005818751,0.7532242,0.0735854
125,284567-58,0.012780484,1.0775449,-0.04839025
126,286611-39,0.0057157543,1.1097175,-0.35320163
127,289038-29,0.4944249,0.7609658,-0.24312063
128,289038-37,-0.64314973,-0.8774988,0.1347936
129,289945-69,-1.3026476,0.15854843,-0.18267873
130,290460-54,-0.001293706,-0.6084143,-0.22643581
131,290460-77,1.0225061,-0.2984361,-0.41492048
132,292328-188,0.010674845,-0.44309527,-0.2245431
133,292328-204,0.031050147,-0.29409704,-0.36471754
134,292729-64,0.00055448816,-0.6789324,0.71059173
135,294427-54,-0.0025033024,-1.184981,0.45302692
136,294428-42,-0.0024345082,0.7557717,-0.038803317
137,294429-110,-7.731316e-05,1.3535885,-0.42898947
138,294429-133,-0.020098975,-0.54445446,-0.0065728817
139,294429-160,-0.00082929124,1.2072994,0.03172874
140,294429-179,1.5074826,0.6723876,0.15598568
141,294429-56,0.87259614,0.60691625,-0.37347457
142,294429-70,0.016369369,0.8814773,-0.008057695
143,294429-95,0.010735069,1.0797664,-0.20883186
144,294430-56,-0.71097887,0.78217226,0.16986674
145,294430-81,0.91018045,0.99772453,-0.428615
146,298221-71,0.010687471,-2.014624,1.0277694
147,301190-6,1.0874181,-0.75273246,-0.5256444
148,304792-37,0.03748804,0.9364436,-0.3746841
149,126541-150,-0.0039990107,2.6260192,1.7734343
150,142458-51,-1.4208979e-05,-1.4082832,-1.3724161
151,142458-64,-0.0038765476,-1.4128443,-1.3842053
152,14720-100,1.0364509,-0.61940694,-0.39527693
153,14720-74,0.25404054,-1.6162356,-1.1141906
154,14809-111,0.0842471,-1.2328682,-0.8879954
155,14809-120,0.0036226278,-2.5137482,-1.6513593
156,14809-130,-0.51495683,0.54748636,0.15626216
157,14809-139,0.0025434862,-2.5150137,-1.7766805
158,273823-7,0.019519845,-1.3460367,-0.9507938
159,275322-252,0.335241,0.22181009,-0.11095086
160,285867-88,-0.28875923,-0.23214367,-0.38322327
161,298990-146,-0.02337684,-0.09419589,-0.79776454
162,298990-78,-0.017526073,-0.14501327,0.119390935
163,303307-48,-0.02055773,1.3944205,-0.4249046
164,307822-63,0.009559485,-0.77584785,0.018788977
165,307925-109,1.5899681,1.0391155,-0.073646285
166,307925-77,-1.69686,-0.7815221,-0.2591766
167,307925-88,1.4866824,0.64868736,-0.13235416
