Variavel,ID,Descricao
Votante,0,Alexandre_de_Moraes2
Votante,1,Ayres_Britto2
Votante,2,Carlos_Velloso2
Votante,3,Cármen_Lúcia2
Votante,4,Célio_Borja2
Votante,5,Celso_de_Mello2
Votante,6,Cezar_Peluso2
Votante,7,Dias_Toffoli2
Votante,8,Edson_Fachin2
Votante,9,Ellen_Gracie2
Votante,10,Eros_Grau2
Votante,11,Francisco_Rezek2
Votante,12,Gilmar_Mendes2
Votante,13,Ilmar_Galvão2
Votante,14,Joaquim_Barbosa2
Votante,15,Luiz_Fux2
Votante,16,Marco_Aurélio2
Votante,17,Maurício_Corrêa2
Votante,18,Menezes_Direito2
Votante,19,Moreira_Alves2
Votante,20,Nelson_Jobim2
Votante,21,Néri_da_Silveira2
Votante,22,Octávio_Gallotti2
Votante,23,Paulo_Brossard2
Votante,24,Ricardo_Lewandowski2
Votante,25,Roberto_Barroso2
Votante,26,Rosa_Weber2
Votante,27,Sepúlveda_Pertence2
Votante,28,Sydney_Sanches2
Votante,29,Teori_Zavascki2
Votacao,0,ID_STF_451
Votacao,1,ID_STF_750
Votacao,2,ID_STF_803
Votacao,3,ID_STF_907
Votacao,4,ID_STF_3356
Votacao,5,ID_STF_3357
Votacao,6,ID_STF_3406
Votacao,7,ID_STF_3470
Votacao,8,ID_STF_3605
Votacao,9,ID_STF_3630
Votacao,10,ID_STF_3662
Votacao,11,ID_STF_3937
Votacao,12,ID_STF_4008
Votacao,13,ID_STF_4066
Votacao,14,ID_STF_4269
Votacao,15,ID_STF_4362
Votacao,16,ID_STF_4439
Votacao,17,ID_STF_4674
Votacao,18,ID_STF_4764
Votacao,19,ID_STF_4777
Votacao,20,ID_STF_4797
Votacao,21,ID_STF_4798
Votacao,22,ID_STF_5035
Votacao,23,ID_STF_5037
Votacao,24,ID_STF_5526
Votacao,25,ID_STF_5540
Votacao,26,ID_STF_5763
Votacao,27,ID_STF_124
Votacao,28,ID_STF_238
Votacao,29,ID_STF_246
Votacao,30,ID_STF_291
Votacao,31,ID_STF_336
Votacao,32,ID_STF_341
Votacao,33,ID_STF_374
Votacao,34,ID_STF_396
Votacao,35,ID_STF_442
Votacao,36,ID_STF_484
Votacao,37,ID_STF_524
Votacao,38,ID_STF_541
Votacao,39,ID_STF_603
Votacao,40,ID_STF_608
Votacao,41,ID_STF_639
Votacao,42,ID_STF_820
Votacao,43,ID_STF_845
Votacao,44,ID_STF_874
Votacao,45,ID_STF_875
Votacao,46,ID_STF_890
Votacao,47,ID_STF_932
Votacao,48,ID_STF_951
Votacao,49,ID_STF_1007
