id,votante,alpha
0,Aldir_Passarinho,0.0017366466
1,Alexandre_de_Moraes,-0.00500488
2,Ayres_Britto,-0.2307873
3,Carlos_Madeira,0.0009186043
4,Carlos_Velloso,-0.35986173
5,Cármen_Lúcia,0.66363686
6,Célio_Borja,-0.007559115
7,Celso_de_Mello,0.32798663
8,Cezar_Peluso,0.42723536
9,Dias_Toffoli,0.013519261
10,Edson_Fachin,-0.17841473
11,Ellen_Gracie,0.76731956
12,Eros_Grau,0.002784725
13,Francisco_Rezek,-0.001136114
14,Gilmar_Mendes,0.56720114
15,Ilmar_Galvão,-0.1341066
16,Joaquim_Barbosa,-8.720211e-05
17,Luiz_Fux,0.48429203
18,Marco_Aurélio,-2.3444157
19,Maurício_Corrêa,0.3185298
20,Menezes_Direito,-0.00040607597
21,Moreira_Alves,0.97948
22,Nelson_Jobim,0.6488944
23,Néri_da_Silveira,-0.006429491
24,Octávio_Gallotti,0.37297797
25,Paulo_Brossard,-0.00089910714
26,Ricardo_Lewandowski,0.48069352
27,Roberto_Barroso,0.0040247873
28,Rosa_Weber,0.23858298
29,Sepúlveda_Pertence,-0.6664787
30,Sydney_Sanches,5.567428e-05
31,Teori_Zavascki,-0.0002140458
