id,votacao,alpha
0,8,0.20080619
1,13,0.39793625
2,38,0.07348311
3,42,0.5284587
4,46,0.28910556
5,52,0.6308368
6,53,0.209092
7,9,-0.0051119043
8,12,0.4155884
9,14,0.0018389908
10,33,0.4031159
11,47,-0.037437882
12,55,-0.021045113
13,60,0.27021155
14,66,0.14936855
15,78,0.074174084
16,83,0.14700504
17,85,0.16076757
18,87,0.28775212
19,98,0.1926145
20,100,0.13922042
21,104,0.0048532067
22,106,0.29783717
23,108,0.31814033
24,112,0.11163277
25,113,0.11972803
26,119,0.41828007
27,120,-0.347803
28,123,0.29283395
29,124,0.16584638
30,125,0.25956857
31,130,0.6213402
32,135,0.13325249
33,137,0.22424434
34,151,0.25682428
35,161,0.5980804
36,162,0.15212364
37,165,0.0217497
38,175,0.03852002
39,176,-0.12506908
40,182,0.56768775
41,196,0.50466245
42,237,0.28898144
43,247,0.28419974
44,251,0.22963779
45,258,0.51328474
46,278,0.33979055
47,283,-0.047217287
48,289,0.29837877
49,296,-0.26628312
50,300,0.2652371
51,302,0.28816158
52,305,0.25660104
53,321,-0.12793683
54,325,0.29429498
55,331,0.40288517
56,343,0.18864945
57,361,0.49385032
58,372,0.3159691
59,401,0.2639721
60,408,0.06326021
61,413,0.44218746
62,415,0.58073246
63,422,0.063308
64,430,-0.010971848
65,438,-0.14450218
66,471,0.5511066
67,503,0.432601
68,515,0.51049864
69,622,0.15793662
70,18,-0.17567085
71,308,0.23565385
72,315,0.2525397
73,351,0.5364327
74,97,0.116579555
