id,votacao,alpha,dim_latente
153,Vote 154,0.15543194,0.49842134
154,Vote 155,-0.77285945,-0.31657726
155,Vote 156,0.1407818,0.36853525
156,Vote 157,-0.7302448,-0.2574754
157,Vote 158,0.4495571,-0.41172636
158,Vote 159,1.4106618,0.9487638
159,Vote 160,-0.45816496,-0.37330514
160,Vote 161,-2.002558,-1.1812553
161,Vote 162,0.4308417,0.724115
162,Vote 163,-2.011961,-0.81609046
163,Vote 164,0.2457062,0.8512636
164,Vote 165,-0.7729481,0.501098
165,Vote 166,0.33157524,0.6679967
166,Vote 167,0.84756756,0.26611394
167,Vote 168,-0.28912532,-0.990864
168,Vote 169,-2.705339,0.037484966
169,Vote 170,-2.08985,-0.50236434
170,Vote 171,-2.8861487,0.08824058
171,Vote 172,2.5344055,-0.03425618
172,Vote 173,5.517906,-0.5664908
173,Vote 174,0.5900017,1.0529714
174,Vote 175,0.33120966,-0.6614861
175,Vote 176,0.55595857,-1.0803554
176,Vote 177,5.480646,-0.59871554
177,Vote 178,2.4788983,0.36825973
178,Vote 179,-0.5230355,2.3199396
179,Vote 180,-1.1722051,-0.746382
180,Vote 181,-1.6605171,-0.41821307
181,Vote 182,1.9426179,0.06930642
182,Vote 183,5.250987,-0.68665147
183,Vote 184,2.4162204,-0.84302646
184,Vote 185,2.5732079,-0.028439317
185,Vote 186,0.67549413,0.39022338
186,Vote 187,5.4473786,-0.63004565
187,Vote 188,-1.0088345,-0.16869326
188,Vote 189,-0.6410464,0.67898315
189,Vote 190,-0.2655366,0.8100496
190,Vote 191,0.16682138,-0.7901073
191,Vote 192,-0.6100923,-1.1251324
192,Vote 193,0.09896472,-1.4525019
193,Vote 194,-0.7503288,-2.3344307
194,Vote 195,0.7699416,2.070241
195,Vote 196,-0.6893633,-2.2467601
196,Vote 197,0.0017766826,-0.5214941
197,Vote 198,-0.81022364,-1.2672248
198,Vote 199,-0.9458324,-1.4482758
199,Vote 200,2.1857913,-1.9662542
200,Vote 201,2.7722218,-0.21971892
201,Vote 202,2.259056,-0.13776512
202,Vote 203,0.16156699,1.0486478
203,Vote 204,0.6886984,1.5663568
204,Vote 205,0.89720124,2.4629781
205,Vote 206,-2.0250964,-0.14182763
206,Vote 207,-1.5397575,-0.89378
207,Vote 208,1.7463394,1.1141611
208,Vote 209,5.197231,-0.6905648
209,Vote 210,1.4886773,1.8369498
210,Vote 211,1.2085111,2.5218225
211,Vote 212,1.1256629,1.7161131
212,Vote 213,2.8816814,-0.21864906
213,Vote 214,-0.43648368,-1.8293397
214,Vote 215,-1.1344993,-0.003187751
215,Vote 216,-2.713127,0.45909283
216,Vote 217,3.0308967,-0.5183403
217,Vote 218,-0.3819569,0.06252595
218,Vote 219,-0.46910754,-0.036318116
219,Vote 220,2.244623,0.13674924
220,Vote 221,-1.4964564,0.27430326
221,Vote 222,-0.11032489,0.69961196
222,Vote 223,2.5724354,-1.1561999
223,Vote 224,1.8323392,0.40848306
224,Vote 225,1.3152356,1.1121008
225,Vote 226,-1.1381731,-0.2713606
226,Vote 227,2.141005,0.115040444
227,Vote 228,-2.1683109,-0.5835839
228,Vote 229,1.9784341,0.46476343
229,Vote 230,0.7321164,1.3188931
230,Vote 231,0.80237615,1.0269717
231,Vote 232,0.9112048,1.2591925
232,Vote 233,-1.099591,-1.81868
233,Vote 234,-0.22892244,-1.4270564
234,Vote 235,-0.430412,0.24899085
235,Vote 236,1.609488,-0.69965863
236,Vote 237,5.2369194,-0.7194398
237,Vote 238,5.3418736,-0.6275113
238,Vote 239,5.3426137,-0.71224433
239,Vote 240,2.2270236,2.1468215
240,Vote 241,1.5244554,1.2347937
241,Vote 242,-0.48944116,-1.8612409
242,Vote 243,5.262416,-0.60651004
243,Vote 244,-0.21380174,0.8884294
244,Vote 245,-0.9267445,-0.5377594
245,Vote 246,-1.7091845,-0.8081477
246,Vote 247,5.3780127,-0.57742935
247,Vote 248,-0.7391246,0.4839831
248,Vote 249,-0.46081072,-0.88575464
249,Vote 250,-0.9094621,-1.0517602
250,Vote 251,2.5521626,-0.058502663
251,Vote 252,1.1940858,1.147527
252,Vote 253,1.0961769,1.0172162
253,Vote 254,-2.182386,0.114610754
254,Vote 255,-1.9473643,-0.05713776
255,Vote 256,-1.2734954,-2.130617
256,Vote 257,-1.6913068,-0.5344028
257,Vote 258,-2.4228253,-0.2247799
258,Vote 259,1.0741148,0.35142657
259,Vote 260,-2.014457,-1.5327637
260,Vote 261,0.770955,1.9496095
261,Vote 262,0.123567924,1.9940144
262,Vote 263,1.7518543,-0.5593629
263,Vote 264,0.89911675,1.1014112
264,Vote 265,-1.4318124,-1.1660984
265,Vote 266,-1.5550431,-1.554676
266,Vote 267,-1.9517069,-0.7169775
267,Vote 268,-1.1700085,-1.3222493
268,Vote 269,-2.0944774,-1.1279261
269,Vote 270,-1.6384219,0.08089848
270,Vote 271,0.4013892,1.1574552
271,Vote 272,-0.2513215,0.4318083
272,Vote 273,-0.76483417,0.22464563
273,Vote 274,-0.3247139,-0.5296652
274,Vote 275,2.021271,-2.3047006
275,Vote 276,2.8322575,-1.0389429
276,Vote 277,0.8751972,1.0920589
277,Vote 278,0.54816717,0.9478584
278,Vote 279,1.1796762,0.30071312
279,Vote 280,-3.1949737,2.4924169
280,Vote 281,-0.7056103,0.3732907
281,Vote 282,-1.2591738,-0.06937558
282,Vote 283,-0.18033965,0.0525385
283,Vote 284,-0.008923475,-0.05272322
284,Vote 285,-0.6759782,0.36213163
285,Vote 286,-0.030740445,1.2604864
286,Vote 287,1.9525816,-1.9729156
287,Vote 288,2.574667,-1.1901076
288,Vote 289,5.5429564,-0.5419885
289,Vote 290,5.309375,-0.6136154
290,Vote 291,-0.52826536,-0.8322854
291,Vote 292,5.317592,-0.5910583
292,Vote 293,-1.8140862,-1.7195853
293,Vote 294,1.5559201,1.9515278
294,Vote 295,-2.0532439,-2.0658686
295,Vote 296,5.4090524,-0.6178215
296,Vote 297,0.65108246,2.5394938
297,Vote 298,-2.5537317,-0.41937003
298,Vote 299,-0.06683508,-0.9326257
299,Vote 300,0.19413401,-2.059788
300,Vote 301,2.000204,2.338389
301,Vote 302,5.261965,-0.68794185
302,Vote 303,1.7150228,-1.0760976
303,Vote 304,-2.2193747,-0.57071275
304,Vote 305,2.2981455,0.43415272
305,Vote 306,3.3961186,-1.9058272
306,Vote 307,0.25989833,0.6926327
307,Vote 308,3.247524,-0.4401992
308,Vote 309,2.5846238,-1.1082836
309,Vote 310,0.6361765,1.7484051
310,Vote 311,1.4456012,-1.2916343
311,Vote 312,2.0765066,0.73034054
312,Vote 313,0.1672829,-0.7360451
313,Vote 314,2.4213579,-1.0440865
314,Vote 315,2.5812645,-1.1899208
315,Vote 316,2.4332778,0.12732624
316,Vote 317,-0.78385985,-1.9268277
317,Vote 318,-1.3580952,-1.8297312
318,Vote 319,0.59042704,2.1247978
319,Vote 320,-1.307682,-1.6969411
320,Vote 321,2.3858743,0.14020225
321,Vote 322,-1.0473764,-1.5217407
322,Vote 323,-0.57861733,-1.7104744
323,Vote 324,0.6636092,1.8922496
324,Vote 325,0.27644005,1.4437532
325,Vote 326,2.011219,0.48162764
326,Vote 327,1.2710063,1.465705
327,Vote 328,1.2974132,1.1595047
328,Vote 329,1.651176,1.2955472
329,Vote 330,1.4968164,-0.44372818
330,Vote 331,-1.5092373,-1.0060427
331,Vote 332,-1.439065,-1.1993158
332,Vote 333,1.4447929,0.50525063
333,Vote 334,-0.88763875,0.29687613
334,Vote 335,1.6525376,0.7262889
335,Vote 336,1.0860331,1.1225559
336,Vote 337,-0.7049699,1.0912191
337,Vote 338,0.5377288,2.158726
338,Vote 339,-0.38150713,1.2369998
339,Vote 340,-1.2245615,0.6551722
340,Vote 341,0.4457307,1.8595195
341,Vote 342,0.96611196,2.2291172
342,Vote 343,-1.6106755,-0.45959553
343,Vote 344,3.2530942,-0.47260773
344,Vote 345,0.16950163,-1.3258713
345,Vote 346,0.09375112,-1.5091695
346,Vote 347,-1.275878,-1.1062931
347,Vote 348,-0.37172502,1.201152
348,Vote 349,-0.27326772,0.12599453
349,Vote 350,0.4277601,0.76717556
350,Vote 351,-0.7996716,2.1812835
351,Vote 352,-1.2150664,2.9711154
352,Vote 353,0.18007477,0.8122777
